M,W,?Th/ ?Tv(5),?Th/ ?Tv(5),?Th/ ?Tv(10),?Th/ ?Tv(10),?Th/ ?Tv(20),?Th/ ?Tv(20),?Th/ ?Tv(15),Wmax
1,1,51.81802548,3.11871858,80.3235922,3.43691074,113.0732651,3.73142346,99.67783155,3.61873096
1,2,61.65592498,5.16725472,119.2779431,5.64209064,207.2720977,6.2374372,168.6100094,5.98879136
1,3,61.72532397,7.16737244,123.3925666,7.65085142,241.3541217,8.32720248,185.7956805,8.03057928
1,4,61.72533557,9.16737244,123.4504526,9.65091456,246.6236195,10.33450994,187.0238565,10.0321177
1,5,61.7253129,11.1673727,123.4504453,11.65091578,246.8957533,12.33474228,187.0462602,12.03213506
1,6,61.72533559,13.16737244,123.4504358,13.65091586,246.9011951,14.33474544,187.0462935,14.03213576
1,7,61.72527769,15.1673731,123.4506576,15.65091406,246.9012198,16.3347456,187.0463227,16.03213556
1,8,61.72527644,17.16737312,123.4504883,17.65091544,246.9013424,18.33474488,187.0463552,18.03213536
1,9,61.72527618,19.16737312,123.4506548,19.65091408,246.9012895,20.3347452,187.0464645,20.03213464
1,10,61.72527612,21.16737312,123.4506594,21.65091404,246.9013371,22.33474492,187.0463804,22.03213518
1,11,61.72527611,23.16737312,123.4506633,23.650914,246.9012929,24.33474518,187.0464641,24.03213464
1,12,61.72527611,25.16737312,123.450471,25.65091558,246.9012871,26.3347452,187.0463809,26.03213518
1,13,61.72527611,27.16737312,123.4504751,27.65091554,246.9013367,28.33474492,187.0463971,28.03213508
1,14,61.72527611,29.16737312,123.4504765,29.65091552,246.9013388,30.3347449,187.0464597,30.03213466
1,15,61.72527611,31.16737312,123.450477,31.65091552,246.9012859,32.33474522,187.0463971,32.03213508
1,16,61.72527611,33.16737312,123.4504771,33.65091552,246.901291,34.33474518,187.0463987,34.03213506
1,17,61.72533559,35.16737244,123.4504615,35.6509153,246.9012367,36.3347455,187.0463929,36.0321351
1,18,61.72533559,37.16737244,123.45052,37.65091518,246.90124,38.33474548,187.0463931,38.0321351
1,19,61.72533559,39.16737244,123.4504615,39.65091566,246.9012417,40.33474546,187.0463933,40.0321351
1,20,61.72533559,41.16737244,123.4504716,41.65091556,246.9012425,42.33474546,187.0463935,42.0321351
1,21,61.72533559,43.16737244,123.4504615,43.65091564,246.9012039,44.33474568,187.0463935,44.0321351
1,22,61.72533559,45.16737244,123.4504615,45.65091564,246.901333,46.33474494,187.0463471,46.03213542
1,23,61.72533559,47.16737244,123.4504615,47.65091564,246.9013423,48.33474488,187.0463014,48.03213572
1,24,61.72523065,49.16737364,123.4504614,49.65091564,246.9013269,50.33474498,187.0463935,50.0321351
1,25,61.72521964,51.16737376,123.4504615,51.65091564,246.9013357,52.33474492,187.0463934,52.0321351
