Msource,W,xwm_ar_5,Wm_ar_5,xwm_ar_10,Wm_ar_10,xwm_ar_15,Wm_ar_15,xwm_ar_20,Wm_ar_20
5.0,1.0,187.7,4.21658246,203.0,4.29348458,209.1,4.3221386,212.1,4.3
5.0,2.0,537.9,7.78565282,658.4,8.17551612,717.7,8.34440102,750.9,8.4
5.0,3.0,859.8,10.74537784,1160.2,11.55847588,1332.9,11.95530982,1439.2,12.2
5.0,4.0,1112.4,13.29669648,1618.4,14.52648868,1939.8,15.18199824,2151.8,15.6
5.0,5.0,1295.5,15.59359288,2008.1,17.1845519,2491.9,18.09365334,2826.8,18.7
5.0,6.0,1416.7,17.73958852,2326.0,19.6190182,2974.4,20.75888794,3439.2,21.5
5.0,7.0,1487.5,19.80303932,2575.6,21.89551852,3384.9,23.23514382,3980.5,24.1
5.0,8.0,1522.4,21.8267371,2762.8,24.06333394,3725.5,25.56838536,4449.7,26.6
5.0,9.0,1536.6,23.83424602,2895.2,26.15931062,4000.5,27.79504002,4848.9,28.9
5.0,10.0,1541.4,25.83627364,2982.0,28.210447,4215.3,29.94395368,5181.8,31.2
5.0,11.0,1542.7,27.83674606,3034.0,30.2356142,4376.1,32.03785034,5452.7,33.4
5.0,12.0,1543.1,29.83684204,3062.2,32.24701066,4490.7,34.0943161,5666.8,35.5
5.0,13.0,1543.1,31.83685914,3076.1,34.25176388,4567.7,36.1265553,5830.2,37.6
5.0,14.0,1543.1,33.83686182,3082.3,36.25359688,4616.3,38.14398292,5950.0,39.6
5.0,15.0,1543.1,35.83686218,3084.8,38.2542581,4644.9,40.15289418,6033.9,41.6
5.0,16.0,1543.1,37.83686424,3085.8,40.25447356,4660.7,42.15721352,6089.8,43.7
5.0,17.0,1543.1,39.83686222,3086.1,42.25454222,4668.9,44.15920228,6125.2,45.7
5.0,18.0,1543.1,41.83686222,3086.2,44.25456234,4672.9,46.16008068,6146.6,47.7
5.0,19.0,1543.1,43.83686222,3086.3,46.25456786,4674.8,48.16043354,6158.9,49.7
5.0,20.0,1543.1,45.83686222,3086.3,48.2545693,4675.6,50.16058564,6165.6,51.7
5.0,21.0,1543.1,47.83686222,3086.3,50.25456976,4675.9,52.16064388,6169.1,53.7
5.0,22.0,1543.1,49.83686222,3086.3,52.2545697,4676.1,54.16067256,6170.9,55.7
5.0,23.0,1543.1,51.83686222,3086.3,54.25456992,4676.1,56.16066938,6171.8,57.7
5.0,24.0,1543.1,53.83686222,3086.3,56.25457386,4676.2,58.16067182,6172.2,59.7
5.0,25.0,1543.1,55.83686248,3086.3,58.25456972,4676.1,60.16064698,6172.4,61.7
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
