Ws,Ms,Xwmax,Wmax,Lmax,As,Arect,Att,Diff_Arect_Att_%,Log_Ar,Log_Att
5,1,123.45,5.83,553.97,5,3229.65,961.72,70.22%,3.51,2.98
5,2,491.27,6.65,1658.47,10,11028.83,3371.29,69.43%,4.04,3.53
5,3,1012.55,7.43,2895.8,15,21515.79,6644.64,69.12%,4.33,3.82
5,4,1532.54,8.08,4129.85,20,33369.19,10257.97,69.26%,4.52,4.01
5,5,2008.09,8.59,5298.91,25,45517.64,13889.52,69.49%,4.66,4.14
5,6,2431.25,8.99,6375.36,30,57314.49,17367.68,69.70%,4.76,4.24
5,7,2802.35,9.31,7349.55,35,68424.31,20609.02,69.88%,4.84,4.31
5,8,3125.08,9.56,8221.59,40,78598.40,23555.95,70.03%,4.90,4.37
5,9,3404.43,9.76,8996.78,45,87808.57,26207.68,70.15%,4.94,4.42
5,10,3645.75,9.93,9682.98,50,96151.99,28595.19,70.26%,4.98,4.46
5,11,3854.17,10.06,10289.01,55,103507.44,30694.57,70.35%,5.01,4.49
5,12,4034.38,10.17,10823.75,60,110077.54,32562.36,70.42%,5.04,4.51
5,13,4190.49,10.26,11295.66,65,115893.47,34211.48,70.48%,5.06,4.53
5,14,4326.09,10.34,11712.47,70,121106.94,35684.35,70.53%,5.08,4.55
5,15,4444.24,10.41,12081.15,75,125764.77,36996.49,70.58%,5.10,4.57
5,16,4547.5,10.46,12407.86,80,129786.22,38130.93,70.62%,5.11,4.58
5,17,4638.07,10.51,12698,85,133455.98,39161.58,70.66%,5.13,4.59
5,18,4717.78,10.55,12956.26,90,136688.54,40069.36,70.69%,5.14,4.60
5,19,4788.19,10.59,13186.71,95,139647.26,40897.05,70.71%,5.15,4.61
5,20,4850.6,10.62,13392.86,100,142232.17,41621.29,70.74%,5.15,4.62
5,21,4906.1,10.65,13577.75,105,144603.04,42283.38,70.76%,5.16,4.63
5,22,4955.64,10.68,13744,110,146785.92,42891.03,70.78%,5.17,4.63
5,23,4999.98,10.7,13893.88,115,148664.52,43416.10,70.80%,5.17,4.64
5,24,5039.8,10.72,14029.32,120,150394.31,43898.33,70.81%,5.18,4.64
5,25,5075.68,10.73,14152.03,125,151851.28,44307.42,70.82%,5.18,4.65
