Wsource,M,xwm_ar_5,Wm_ar_5,xwm_ar_10,Wm_ar_10,xwm_ar_15,Wm_ar_15,xwm_ar_20,Wm_ar_20
5,1,61.72543021,11.16737174,123.4506682,11.65091396,187.0463306,12.03213458,246.8958592,12.33474168
5,2,246.895394,12.33474462,491.2713391,13.29997076,725.3351921,14.0451176,920.7036325,14.60890708
5,3,550.372844,13.49818572,1012.547119,14.86107458,1376.712373,15.79252884,1652.538647,16.4326244
5,4,920.7036333,14.60890708,1532.539933,16.16062644,1973.603702,17.11495168,2292.020813,17.73263814
5,5,1295.450637,15.59359286,2008.090384,17.18455174,2491.943678,18.09366014,2826.831421,18.657118
5,6,1652.538649,16.4326244,2431.248521,17.9860952,2932.232285,18.82462754,3265.72658,19.3265234
5,7,1985.423523,17.13888314,2802.35439,18.61756814,3302.056745,19.37876472,3623.065286,19.82121678
5,8,2292.023971,17.732629,3125.076239,19.11986882,3611.15616,19.80539258,3913.525991,20.19404234
5,9,2572.193768,18.23320996,3404.42847,19.5235409,3869.234653,20.13875252,4150.196055,20.48013302
5,10,2830.778076,18.65710382,3645.750325,19.85123836,4085.039335,20.40287184,4343.893923,20.7033711
5,11,3064.202635,19.01785928,3854.167168,20.11984652,4266.076676,20.61482576,4503.373318,20.88022004
5,12,3265.726712,19.32652308,4034.383217,20.34201374,4418.583385,20.78695522,4635.564363,21.02225526
5,13,3453.646853,19.59189772,4190.488735,20.52738236,4547.67691,20.92828228,4756.257636,21.13773824
5,14,3623.065301,19.82121676,4326.086687,20.68327316,4693.978683,21.04519832,4838.642631,21.232804
5,15,3775.796043,20.02033432,4444.239292,20.81535434,4762.355293,21.14353236,4917.138408,21.3117945
5,16,3913.540183,20.19402868,4547.499523,20.92807762,4832.32247,21.22638702,4984.020918,21.37807776
5,17,4037.865024,20.34621834,4638.066415,21.02490674,4902.189887,21.29685226,5041.372159,21.43418358
5,18,4150.196889,20.48013184,4717.780135,21.10859564,4962.89968,21.35724608,5090.838181,21.48205982
5,19,4251.82224,20.59844184,4788.18985,21.18134382,5015.909857,21.40935844,5133.771268,21.52319832
5,20,4343.893924,20.7033711,4850.598589,21.24492352,5069.029664,21.45460996,5171.230765,21.55878892
5,21,4427.439295,20.79677796,4906.104538,21.3007723,5103.392035,21.49411918,5204.079293,21.58977254
5,22,4503.374916,20.88021786,4955.637356,21.35006166,5139.657617,21.52881146,5233.019419,21.61690266
5,23,4572.508682,20.95500854,4999.981082,21.39375796,5171.892204,21.55941612,5258.637438,21.64078086
5,24,4635.564663,21.02225488,5039.804935,21.43265654,5200.64656,21.58654588,5281.409268,21.66190186
5,25,4693.171834,21.08291068,5075.677729,21.4674202,5226.391053,21.61069944,5301.745476,21.68066104
