Sw,St,St_Sw,Dr_5_Wmax_Sw,Dr_10_Wmax_Sw,Dr_15_Wmax_Sw,Dr_20_Wmax_Sw
5,1,0.2,2.23,2.33,2.41,2.47
5,2,0.4,2.47,2.66,2.81,2.92
5,3,0.6,2.7,2.97,3.16,3.29
5,4,0.8,2.92,3.23,3.42,3.55
5,5,1,3.12,3.44,3.62,3.73
5,6,1.2,3.29,3.6,3.76,3.87
5,7,1.4,3.43,3.72,3.88,3.96
5,8,1.6,3.55,3.82,3.96,4.04
5,9,1.8,3.65,3.9,4.03,4.1
5,10,2,3.73,3.97,4.08,4.14
5,11,2.2,3.8,4.02,4.12,4.18
5,12,2.4,3.87,4.07,4.16,4.2
5,13,2.6,3.92,4.11,4.19,4.23
5,14,2.8,3.96,4.14,4.21,4.25
5,15,3,4,4.16,4.23,4.26
5,16,3.2,4.04,4.19,4.25,4.28
5,17,3.4,4.07,4.2,4.26,4.29
5,18,3.6,4.1,4.22,4.27,4.3
5,19,3.8,4.12,4.24,4.28,4.3
5,20,4,4.14,4.25,4.29,4.31
5,21,4.2,4.16,4.26,4.3,4.32
5,22,4.4,4.18,4.27,4.31,4.32
5,23,4.6,4.19,4.28,4.31,4.33
5,24,4.8,4.2,4.29,4.32,4.33
5,25,5,4.22,4.29,4.32,4.34
