Sw,St,St_Sw,Dr_5_Xmax_Sw,Dr_10_Xmax_Sw,Dr_15_Xmax_Sw,Dr_20_Xmax_Sw
2,1,0.5,30.83,59.64,84.31,103.64
2,2,1,103.64,160.65,199.36,226.15
2,3,1.5,171.37,237.56,277.09,302.02
2,4,2,226.15,291.66,326.8,347.51
2,5,2.5,268.97,329.22,358.86,375.45
2,6,3,302.02,355.54,380.12,393.37
2,7,3.5,327.64,374.33,394.69,405.36
2,8,4,347.51,388.05,404.99,413.7
2,9,4.5,363.1,398.27,412.5,419.7
2,10,5,375.46,406.05,418.11,424.14
2,11,5.5,385.36,412.09,422.4,427.51
2,12,6,393.37,416.85,425.75,430.13
2,13,6.5,399.94,420.66,428.41,432.2
2,14,7,405.36,423.75,430.55,433.86
2,15,7.5,409.89,426.29,432.3,435.21
2,16,8,413.7,428.4,433.74,436.32
2,17,8.5,416.94,430.18,434.95,437.25
2,18,9,419.7,431.68,435.98,438.04
2,19,9.5,422.08,432.96,436.84,438.71
2,20,10,424.14,434.06,437.59,439.28
2,21,10.5,425.94,435.02,438.24,439.77
2,22,11,427.52,435.85,438.8,440.2
2,23,11.5,428.9,436.59,439.29,440.58
2,24,12,430.13,437.23,439.72,440.91
2,25,12.5,431.22,437.8,440.1,441.2
