St,Sw,Sw_St,Dr_5_Wmax_St,Dr_10_Wmax_St,Dr_15_Wmax_St,Dr_20_Wmax_St
3,1,0.33,1.33,1.39,1.41,1.42
3,2,0.67,2.33,2.52,2.61,2.67
3,3,1,3.12,3.44,3.62,3.73
3,4,1.33,3.82,4.23,4.49,4.65
3,5,1.67,4.5,4.95,5.26,5.48
3,6,2,5.17,5.64,5.99,6.24
3,7,2.33,5.83,6.32,6.68,6.96
3,8,2.67,6.5,6.98,7.36,7.65
3,9,3,7.17,7.65,8.03,8.33
3,10,3.33,7.83,8.32,8.7,9
3,11,3.67,8.5,8.98,9.37,9.67
3,12,4,9.17,9.65,10.03,10.33
3,13,4.33,9.83,10.32,10.7,11
3,14,4.67,10.5,10.98,11.37,11.67
3,15,5,11.17,11.65,12.03,12.33
3,16,5.33,11.83,12.32,12.7,13
3,17,5.67,12.5,12.98,13.37,13.67
3,18,6,13.17,13.65,14.03,14.33
3,19,6.33,13.83,14.32,14.7,15
3,20,6.67,14.5,14.98,15.37,15.67
3,21,7,15.17,15.65,16.03,16.33
3,22,7.33,15.83,16.32,16.7,17
3,23,7.67,16.5,16.98,17.37,17.67
3,24,8,17.17,17.65,18.03,18.33
3,25,8.33,17.83,18.32,18.7,19
