St,Sw,Sw_St,Dr_5_Xmax_St,Dr_10_Xmax_St,Dr_15_Xmax_St,Dr_20_Xmax_St
5,1,0.2,37.54,40.61,41.81,42.41
5,2,0.4,107.58,131.69,143.54,150.18
5,3,0.6,171.96,232.04,266.57,287.84
5,4,0.8,222.48,323.69,387.96,430.35
5,5,1,259.1,401.62,498.39,565.37
5,6,1.2,283.34,465.2,594.89,687.84
5,7,1.4,297.5,515.12,676.97,796.09
5,8,1.6,304.48,552.57,745.1,889.93
5,9,1.8,307.32,579.04,800.1,969.79
5,10,2,308.28,596.39,843.05,1036.36
5,11,2.2,308.54,606.79,875.22,1090.54
5,12,2.4,308.62,612.44,898.14,1133.35
5,13,2.6,308.62,615.22,913.55,1166.04
5,14,2.8,308.62,616.46,923.25,1190
5,15,3,308.62,616.96,928.98,1206.77
5,16,3.2,308.62,617.16,932.14,1217.95
5,17,3.4,308.62,617.22,933.78,1225.04
5,18,3.6,308.62,617.24,934.58,1229.32
5,19,3.8,308.62,617.25,934.95,1231.77
5,20,4,308.62,617.25,935.12,1233.12
5,21,4.2,308.62,617.25,935.19,1233.83
5,22,4.4,308.62,617.25,935.21,1234.18
5,23,4.6,308.62,617.25,935.23,1234.36
5,24,4.8,308.62,617.25,935.23,1234.44
5,25,5,308.62,617.25,935.23,1234.48
