Sw,St,St_Sw,Dr_5_Wmax_Sw,Dr_10_Wmax_Sw,Dr_15_Wmax_Sw,Dr_20_Wmax_Sw
4,1,0.25,2.29,2.41,2.51,2.58
4,2,0.5,2.58,2.82,2.99,3.12
4,3,0.75,2.87,3.17,3.36,3.49
4,4,1,3.12,3.44,3.62,3.73
4,5,1.25,3.33,3.63,3.8,3.89
4,6,1.5,3.49,3.78,3.92,4
4,7,1.75,3.62,3.89,4.01,4.08
4,8,2,3.73,3.97,4.08,4.14
4,9,2.25,3.82,4.04,4.13,4.18
4,10,2.5,3.89,4.09,4.17,4.22
4,11,2.75,3.95,4.13,4.2,4.24
4,12,3,4.01,4.16,4.23,4.26
4,13,3.25,4.05,4.19,4.25,4.28
4,14,3.5,4.08,4.21,4.27,4.29
4,15,3.75,4.12,4.23,4.28,4.3
4,16,4,4.14,4.25,4.29,4.31
4,17,4.25,4.16,4.26,4.3,4.32
4,18,4.5,4.18,4.27,4.31,4.33
4,19,4.75,4.2,4.28,4.32,4.33
4,20,5,4.22,4.29,4.32,4.34
4,21,5.25,4.23,4.3,4.33,4.34
4,22,5.5,4.24,4.31,4.33,4.34
4,23,5.75,4.25,4.31,4.34,4.35
4,24,6,4.26,4.32,4.34,4.35
4,25,6.25,4.27,4.32,4.34,4.35
