Sw,St,St_Sw,Dr_5_Xmax_Sw,Dr_10_Xmax_Sw,Dr_15_Xmax_Sw,Dr_20_Xmax_Sw
1,1,1,51.82,80.32,99.68,113.07
1,2,2,113.07,145.83,163.4,173.76
1,3,3,151.01,177.77,190.06,196.69
1,4,4,173.76,194.02,202.5,206.85
1,5,5,187.73,203.03,209.06,212.07
1,6,6,196.69,208.42,212.88,215.06
1,7,7,202.68,211.87,215.27,216.93
1,8,8,206.85,214.2,216.87,218.16
1,9,9,209.85,215.84,217.99,219.02
1,10,10,212.07,217.03,218.8,219.64
1,11,11,213.76,217.93,219.4,220.1
1,12,12,215.06,218.61,219.86,220.45
1,13,13,216.1,219.15,220.22,220.73
1,14,14,216.93,219.58,220.51,220.95
1,15,15,217.6,219.93,220.74,221.13
1,16,16,218.16,220.22,220.93,221.27
1,17,17,218.63,220.46,221.09,221.39
1,18,18,219.02,220.66,221.23,221.49
1,19,19,219.35,220.83,221.34,221.58
1,20,20,219.64,220.83,221.43,221.65
1,21,21,219.89,221.1,221.51,221.72
1,22,22,220.1,221.21,221.58,221.77
1,23,23,220.29,221.31,221.65,221.82
1,24,24,220.45,221.39,221.7,221.86
1,25,25,220.6,221.46,221.75,221.9
