St,Sw,Sw_St,Dr_5_Wmax_St,Dr_10_Wmax_St,Dr_15_Wmax_St,Dr_20_Wmax_St
5,1,0.2,0.84,0.86,0.86,0.87
5,2,0.4,1.56,1.64,1.67,1.69
5,3,0.6,2.15,2.31,2.39,2.44
5,4,0.8,2.66,2.91,3.04,3.11
5,5,1,3.12,3.44,3.62,3.73
5,6,1.2,3.55,3.92,4.15,4.3
5,7,1.4,3.96,4.38,4.65,4.82
5,8,1.6,4.37,4.81,5.11,5.32
5,9,1.8,4.77,5.23,5.56,5.79
5,10,2,5.17,5.64,5.99,6.24
5,11,2.2,5.57,6.05,6.41,6.67
5,12,2.4,5.97,6.45,6.82,7.1
5,13,2.6,6.37,6.85,7.23,7.51
5,14,2.8,6.77,7.25,7.63,7.92
5,15,3,7.17,7.65,8.03,8.33
5,16,3.2,7.57,8.05,8.43,8.73
5,17,3.4,7.97,8.45,8.83,9.13
5,18,3.6,8.37,8.85,9.23,9.53
5,19,3.8,8.77,9.25,9.63,9.93
5,20,4,9.17,9.65,10.03,10.33
5,21,4.2,9.57,10.05,10.43,10.73
5,22,4.4,9.97,10.45,10.83,11.13
5,23,4.6,10.37,10.85,11.23,11.53
5,24,4.8,10.77,11.25,11.63,11.93
5,25,5,11.17,11.65,12.03,12.33
