St,Sw,Sw_St,Dr_5_Xmax_St,Dr_10_Xmax_St,Dr_15_Xmax_St,Dr_20_Xmax_St
1,1,1,51.82,80.32,99.68,113.07
1,2,2,61.66,119.28,168.61,207.27
1,3,3,61.73,123.39,185.8,241.35
1,4,4,61.73,123.45,187.02,246.62
1,5,5,61.73,123.45,187.05,246.9
1,6,6,61.73,123.45,187.05,246.9
1,7,7,61.73,123.45,187.05,246.9
1,8,8,61.73,123.45,187.05,246.9
1,9,9,61.73,123.45,187.05,246.9
1,10,10,61.73,123.45,187.05,246.9
1,11,11,61.73,123.45,187.05,246.9
1,12,12,61.73,123.45,187.05,246.9
1,13,13,61.73,123.45,187.05,246.9
1,14,14,61.73,123.45,187.05,246.9
1,15,15,61.73,123.45,187.05,246.9
1,16,16,61.73,123.45,187.05,246.9
1,17,17,61.73,123.45,187.05,246.9
1,18,18,61.73,123.45,187.05,246.9
1,19,19,61.73,123.45,187.05,246.9
1,20,20,61.73,123.45,187.05,246.9
1,21,21,61.73,123.45,187.05,246.9
1,22,22,61.73,123.45,187.05,246.9
1,23,23,61.73,123.45,187.05,246.9
1,24,24,61.73,123.45,187.05,246.9
1,25,25,61.73,123.45,187.05,246.9
